input_store_id,input_store_name,input_address,matched_foody_url,crawl_status,error,restaurant_id,name,url,title_page,meta_description,address,city,district,area,lat,lng,phone,website,price_min,price_max,avg_rating,total_review,total_view,brand_name,access_guide,meta_keywords,categories,cuisines,audiences,wifi,opening_hours,rating_quality,rating_position,rating_service,rating_price,rating_space
126162,Tiệm Trà Cô Chiêu - Milk Tea & Ăn Vặt - Lê Thanh Nghị,"76 Lê Thanh Nghị, Phường Bạch Mai, Hà Nội",,foody_url_not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126679,Mì Cay Sassin 7 Cấp Độ Hàn Quốc - Bách Khoa,"104K9 Nguyễn Hiền, Phường Bạch Mai, Hà Nội",,foody_url_not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131660,"Tiệm Thỏ - Fruit Juice, Tea & Coffee - Tạ Quang Bửu","Số Nhà 98 Ngõ 40 Tạ Quang Bửu, Phường Bạch Mai, Hà Nội",,foody_url_not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42458,Cơm Gà Xối Mỡ Mai Phương - Lê Thanh Nghị,"62 Phố Lê Thanh Nghị, Bách Khoa, Hai Bà Trưng, Hà Nội, Việt Nam",,foody_url_not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62366,The Tryst Coffee & Desserts - Đại Cồ Việt,"32A-34 Đại Cồ Việt, Phường Lê Đại Hành, Hai Bà Trưng, Hà Nội",,foody_url_not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67067,Ka Tea - Trà Trái Cây Nhiệt Đới - Đại Cồ Việt,"58 Đại Cồ Việt, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội",,foody_url_not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82559,Oet O Oet - Drink & Food - Giải Phóng,"72 Ngõ 24 Giải Phóng, Phường Phương Mai, Quận Đống Đa, Hà Nội",,foody_url_not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9606,Cơm Ngon Quang Thắng,"108Y9 Ngõ Tự Do, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội",,foody_url_not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99491,Svn Coffee - Cafe Pha Máy - Khu Tập Thể Bách Khoa,"112 K2 Khu Tập Thể Bách Khoa, Ngõ 48 Tạ Quang Bửu, Bách Khoa, Hai Bà Trưng, Hà Nội",,foody_url_not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103271,Gà Rán Orinchi - Quán Ăn Hàn Quốc - Tạ Quang Bửu,"112b K2 - 48 Tạ Quang Bửu, phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",https://www.foody.vn/ha-noi/ga-ran-orinchi-ta-quang-buu,ok,,1238459.0,Gà Rán Orinchi - Tạ Quang Bửu,https://www.foody.vn/ha-noi/ga-ran-orinchi-ta-quang-buu,"Gà Rán Orinchi - Tạ Quang Bửu ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","Gà Rán Orinchi - Tạ Quang Bửu - Quán ăn tại 48 Tạ Quang Bửu, P. Bách Khoa, Quận Hai Bà Trưng, Hà Nội","48 Tạ Quang Bửu, P. Bách Khoa",Hà Nội,Quận Hai Bà Trưng,,21.0014529,105.8493117,,,0.0,0.0,0.0,0.0,16.0,,,"Gà Rán Orinchi, Tạ Quang Bửu",Quán ăn,,,,DOW=0 9:0 - 22:0,0.0,0.0,0.0,0.0,0.0
103957,Rak Cha Tea - Nguyễn Đình Chiểu,"87 Nguyễn Đình Chiểu, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội",https://www.foody.vn/ha-noi/rak-cha-tea-huong-vi-tra-va-ca-phe-doc-quyen-87-nguyen-dinh-chieu.wwiwak,ok,,1000082369.0,Rak Cha Tea - Hương Vị Trà Và Cà Phê Độc Quyền - 87 Nguyễn Đình Chiểu,https://www.foody.vn/ha-noi/rak-cha-tea-huong-vi-tra-va-ca-phe-doc-quyen-87-nguyen-dinh-chieu.wwiwak,"Rak Cha Tea - Hương Vị Trà Và Cà Phê Độc Quyền - 87 Nguyễn Đình Chiểu ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","Rak Cha Tea - Hương Vị Trà Và Cà Phê Độc Quyền - 87 Nguyễn Đình Chiểu - Café/Dessert - Món Việt, Món Trung Hoa, Món Thái tại 87 Nguyễn Đình Chiểu, Quận Hai Bà Trưng, Hà Nội",87 Nguyễn Đình Chiểu,Hà Nội,Quận Hai Bà Trưng,,21.0115496,105.8460657,,,0.0,0.0,0.0,0.0,18.0,,,,Café/Dessert,Món Việt|Món Trung Hoa|Món Thái,,,DOW=0 8:0 - 22:0,0.0,0.0,0.0,0.0,0.0
103976,"Thego Tagom Cafe - Matcha, Trà & Bánh - Lê Thanh Nghị","Số 25 ngõ 104 Lê Thanh Nghị, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",https://www.foody.vn/ha-noi/thego-tagom-matcha-cafe-tra-banh-bach-khoa,ok,,1238755.0,"Thego Tagom - Matcha Cafe, Trà & Bánh - Bách Khoa",https://www.foody.vn/ha-noi/thego-tagom-matcha-cafe-tra-banh-bach-khoa,"Thego Tagom - Matcha Cafe , Trà & Bánh - Bách Khoa ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","Thego Tagom - Matcha Cafe, Trà & Bánh - Bách Khoa - Quán ăn tại 25 Ngõ 104 Lê Thanh Nghị, P. Bách Khoa, Hai Bà Trưng, Hà Nội, Quận Hai Bà Trưng, Hà Nội","25 Ngõ 104 Lê Thanh Nghị, P. Bách Khoa, Hai Bà Trưng, Hà Nội",Hà Nội,Quận Hai Bà Trưng,,21.0025793,105.846,,,0.0,0.0,0.0,0.0,14.0,,,"Thego Tagom Matcha Cafe, Trà Bánh Bách Khoa",Quán ăn,,,,DOW=0 7:0 - 23:0,0.0,0.0,0.0,0.0,0.0
