id,name,query_name,query_address,address,latitude,longitude,rating,review_count,price,type,phone,website,opening_hours,service_options,highlights,popular_for,offerings,atmosphere,crowd,dining_options
32441,Mì Cay SEOUL Trần Đại Nghĩa,Mì Cay Seoul - Trần Đại Nghĩa,"91 Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng, Hà Nội","223 Trần Đại Nghĩa, Đồng Tâm, Bạch Mai, Hà Nội 10000, Việt Nam",20.9980989,105.84599639999999,2.4,266,1-100.000 ₫,Nhà hàng Hàn Quốc,+84 981 997 983,https://micayseoul.com/,"{""open_state"": ""Sắp đóng cửa · 22:00 · Mở cửa lúc 8:00 CN"", ""hours"": [{""thứ bảy"": ""08:00–22:00""}, {""chủ nhật"": ""08:00–22:00""}, {""thứ hai"": ""08:00–22:00""}, {""thứ ba"": ""08:00–22:00""}, {""thứ tư"": ""08:00–22:00""}, {""thứ năm"": ""08:00–22:00""}, {""thứ sáu"": ""08:00–22:00""}]}","{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true, ""giao_hàng_gián_tiếp"": true}",,Bữa tối; Ăn tối một mình,Nhà hàng thức ăn nhanh,Ấm cúng; Thông thường,Nhóm; Sinh viên,Bữa trưa; Bữa tối; Dịch vụ ăn uống; Phục vụ tại bàn
31947,Tuý food - mì trộn Indomie,Kufoodd - Mì Trộn Indomie & Đồ Ăn Nhanh - Đê Tô Hoàng,"22 Ngách 62B Ngõ 219 Đê Tô Hoàng, P. Cầu Dền, Hai Bà Trưng, Hà Nội","Ngõ 25 Đ. Đại Cồ Việt, Cầu Dền, Bạch Mai, Hà Nội, Việt Nam",21.008567,105.8504729,4.7,37,1-100.000 ₫,Nhà hàng,+84 979 599 902,,"{""open_state"": ""Đang mở cửa · Đóng cửa vào 0:00"", ""hours"": [{""thứ bảy"": ""09:30–00:00""}, {""chủ nhật"": ""09:30–00:00""}, {""thứ hai"": ""09:30–00:00""}, {""thứ ba"": ""09:30–00:00""}, {""thứ tư"": ""09:30–00:00""}, {""thứ năm"": ""09:30–00:00""}, {""thứ sáu"": ""09:30–00:00""}]}","{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true}",,,Nhà hàng thức ăn nhanh,Thông thường,Nhóm,Dịch vụ ăn uống; Phục vụ tại bàn
40268,Xuân Food - Mì Trộn Indomie - Minh Khai,Xuân Food - Mì Trộn Indomie - Tạ Quang Bửu,"5 ngõ 17 Tạ Quang Bửu, Bách Khoa, Hai Bà Trưng, Hà Nội","15 Ngõ 243 Ngõ 195 cũ, Minh Khai, Bạch Mai, Hà Nội, Việt Nam",20.996048599999998,105.8591603,4.7,3,,Nhà hàng ăn nhanh,+84 705 000 286,,"{""open_state"": ""Mở cả ngày"", ""hours"": [{""thứ bảy"": ""Mở cửa cả ngày""}, {""chủ nhật"": ""Mở cửa cả ngày""}, {""thứ hai"": ""Mở cửa cả ngày""}, {""thứ ba"": ""Mở cửa cả ngày""}, {""thứ tư"": ""Mở cửa cả ngày""}, {""thứ năm"": ""Mở cửa cả ngày""}, {""thứ sáu"": ""Mở cửa cả ngày""}]}","{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true}",,,Nhà hàng thức ăn nhanh,Thông thường,Nhóm,Dịch vụ ăn uống
72445,Bánh Mì Chảo - Bếp Cô Nụ,Bếp Cô Nụ - Bánh Mì Chảo Sốt Vang & Gà Viên Chiên - Trần Đại Nghĩa,"26 Ngõ 183 Trần Đại Nghĩa, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội","Đại Học Kinh Tế Quốc Dân (NEU, 26 Ng. 183 P. Trần Đại Nghĩa, Bách Khoa, Bạch Mai, Hà Nội, Việt Nam",21.0002302,105.8463615,4.7,186,1-100.000 ₫,Nhà hàng Việt Nam,+84 962 688 886,https://shopeefood.vn/u/rLSWLEu,"{""open_state"": ""Đã đóng cửa · Mở cửa lúc 9:00 Thứ 2"", ""hours"": [{""thứ bảy"": ""09:00–21:00""}, {""chủ nhật"": ""Đóng cửa""}, {""thứ hai"": ""09:00–21:00""}, {""thứ ba"": ""09:00–21:00""}, {""thứ tư"": ""09:00–21:00""}, {""thứ năm"": ""09:00–21:00""}, {""thứ sáu"": ""09:00–21:00""}]}","{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true, ""giao_hàng"": true}",,,,,,
126679,Mỳ cay sasin,Mì Cay Sassin 7 Cấp Độ Hàn Quốc - Bách Khoa,"104K9 Nguyễn Hiền, Phường Bạch Mai, Hà Nội","119A Trần Đại Nghĩa, Bách Khoa, Bạch Mai, Hà Nội 100000, Việt Nam",21.0024083,105.84488909999999,3.9,1172,1-100.000 ₫,Nhà hàng châu Á,,,,"{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true, ""giao_hàng"": true}",,Bữa trưa; Bữa tối; Ăn tối một mình,Nhà hàng thức ăn nhanh,Ấm cúng; Thông thường,Nhóm; Sinh viên,Bữa trưa; Bữa tối; Dịch vụ ăn uống; Phục vụ tại bàn
80180,Quyên phở gà,"Quyên Phở Gà - Phở, Mì & Miến Trộn - Phố Vọng","52 Phố Vọng, Phương Mai, Đống Đa, Hà Nội","52 P. Vọng, Đồng Tâm, Bạch Mai, Hà Nội, Việt Nam",20.9981938,105.8421336,,,,Nhà hàng phở,,,,"{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true}",,,,Thông thường,Nhóm,Dịch vụ ăn uống; Phục vụ tại bàn
47053,Bee Quán,Bee Quán - Bún Sườn Chua Trộn & Cháo Sườn - Ngõ Thái Lợi,"18 Ngõ Thái Lợi, Tổ dân phố 3A+Tổ dân phố 3B, Bạch Mai, Hai Bà Trưng, Hà Nội, Việt Nam","2V22+HFM, Ng. Thái Lợi, Bạch Mai, Hà Nội, Việt Nam",21.001455,105.8511721,4.3,3,,Quán ăn nhỏ,,,,"{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true, ""giao_hàng"": true}",,,,Thông thường,,Bữa tối; Dịch vụ ăn uống; Phục vụ tại bàn
130783,Bún bò Huế Anh Quân,Bún Bò Huế Cố Đô 1 - Tạ Quang Bửu,"Số 10 Tạ Quang Bửu, Phường Bạch Mai, Hà Nội","51a Đ. Đại Cồ Việt, Lê Đại Hành, Bạch Mai, Hà Nội 10000, Việt Nam",21.0078881,105.84690739999999,4.2,25,1-100.000 ₫,Nhà hàng,+84 327 190 197,,,"{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true}",,,,Thông thường,Nhóm,Bữa sáng; Bữa trưa; Bữa tối; Dịch vụ ăn uống; Phục vụ tại bàn
86930,Bún Cá Cô Minh,Bún Cá Cô Minh - Tạ Quang Bửu,"Số 3 Ngõ 40/2 Tạ Quang Bửu, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội","3 Ngh. 40/2 P. Tạ Quang Bửu, Bách Khoa, Bạch Mai, Hà Nội 100000, Việt Nam",21.0040943,105.8465573,4.2,5,,Nhà hàng ăn nhanh,,,,"{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true}",,,Nhà hàng thức ăn nhanh,Thông thường,,Dịch vụ ăn uống
117526,Bếp Béo - Chuẩn Vị Trung Hoa,Bếp Bé Bếu - Cơm & Bánh Mì Nướng Trung Hoa - Lê Thanh Nghị,"40 Lê Thanh Nghị, Phường Bạch Mai, Hà Nội","68 P. Ngụy Như Kon Tum, Nhân Chính, Thanh Xuân, Hà Nội 100000, Việt Nam",20.998808399999998,105.8006127,4.6,203,200-300 N ₫,Nhà hàng Trung Quốc có giao hàng,+84 833 203 203,https://bepbeo.vn/,"{""open_state"": ""Đang mở cửa · Đóng cửa vào 23:00"", ""hours"": [{""thứ bảy"": ""09:00–23:00""}, {""chủ nhật"": ""09:00–23:00""}, {""thứ hai"": ""09:00–23:00""}, {""thứ ba"": ""09:00–23:00""}, {""thứ tư"": ""09:00–23:00""}, {""thứ năm"": ""09:00–23:00""}, {""thứ sáu"": ""09:00–23:00""}]}","{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true, ""giao_hàng_gián_tiếp"": true}",,,,,,
