store_id,category_type,category_value,source_name
32441,primary,Bún/Phở/Mỳ/Cháo,store_from_top5_json
32441,google_type,Nhà hàng Hàn Quốc,google_maps_unique
32441,foody_category,Nhà hàng,foody_hust_places
32441,foody_cuisine,Món Hàn,foody_hust_places
32441,wifi,seoultang1::66668888|seoul tang1::66668888|Seoul tang1::91trandainghia,foody_hust_places
32441,menu_category,Hot Deal,menu_item_from_top5_json
32441,menu_category,Mì Cay,menu_item_from_top5_json
32441,menu_category,Đồ Ăn Vặt,menu_item_from_top5_json
32441,menu_category,Lẩu,menu_item_from_top5_json
32441,menu_category,Trà Sữa Kem Mặn,menu_item_from_top5_json
32441,menu_category,Nước Ép,menu_item_from_top5_json
32441,menu_category,Trà,menu_item_from_top5_json
32441,menu_category,Nước ngọt,menu_item_from_top5_json
32441,menu_category,Soda,menu_item_from_top5_json
31947,primary,Bún/Phở/Mỳ/Cháo,store_from_top5_json
31947,google_type,Nhà hàng,google_maps_unique
31947,foody_category,Quán ăn,foody_hust_places
31947,menu_category,Mì bùnn,menu_item_from_top5_json
31947,menu_category,Set mì vuiii,menu_item_from_top5_json
31947,menu_category,Combo,menu_item_from_top5_json
31947,menu_category,Drink,menu_item_from_top5_json
40268,primary,Bún/Phở/Mỳ/Cháo,store_from_top5_json
40268,google_type,Nhà hàng ăn nhanh,google_maps_unique
40268,foody_category,Quán ăn,foody_hust_places
40268,menu_category,Giảm 25K - ĐÃÃ QUÁ PEPSI ƠI,menu_item_from_top5_json
40268,menu_category,Giảm 40K - ĐÃÃ QUÁ PEPSI ƠI!,menu_item_from_top5_json
40268,menu_category,MÓN MỚI,menu_item_from_top5_json
40268,menu_category,COMBO BÙNG CHÁY,menu_item_from_top5_json
40268,menu_category,MENU,menu_item_from_top5_json
40268,menu_category,COMBO,menu_item_from_top5_json
40268,menu_category,ĐỒ UỐNG,menu_item_from_top5_json
40268,menu_category,ĐỒ CHIÊN ĂN VẶT,menu_item_from_top5_json
72445,primary,Bánh Mì/Xôi,store_from_top5_json
72445,google_type,Nhà hàng Việt Nam,google_maps_unique
72445,foody_category,Quán ăn,foody_hust_places
72445,menu_category,BÁNH MÌ CHẢO SỐT VANG BẾP CÔ NỤ,menu_item_from_top5_json
