store_id,tag_type,tag_value,source_name
32441,popular_for,Bữa tối,google_maps_unique
32441,popular_for,Ăn tối một mình,google_maps_unique
32441,atmosphere,Ấm cúng,google_maps_unique
32441,atmosphere,Thông thường,google_maps_unique
32441,crowd,Nhóm,google_maps_unique
32441,crowd,Sinh viên,google_maps_unique
32441,dining_option,Bữa trưa,google_maps_unique
32441,dining_option,Bữa tối,google_maps_unique
32441,dining_option,Dịch vụ ăn uống,google_maps_unique
32441,dining_option,Phục vụ tại bàn,google_maps_unique
32441,offering,Nhà hàng thức ăn nhanh,google_maps_unique
32441,foody_category,Nhà hàng,foody_hust_places
32441,foody_cuisine,Món Hàn,foody_hust_places
31947,atmosphere,Thông thường,google_maps_unique
31947,crowd,Nhóm,google_maps_unique
31947,dining_option,Dịch vụ ăn uống,google_maps_unique
31947,dining_option,Phục vụ tại bàn,google_maps_unique
31947,offering,Nhà hàng thức ăn nhanh,google_maps_unique
31947,foody_category,Quán ăn,foody_hust_places
40268,atmosphere,Thông thường,google_maps_unique
40268,crowd,Nhóm,google_maps_unique
40268,dining_option,Dịch vụ ăn uống,google_maps_unique
40268,offering,Nhà hàng thức ăn nhanh,google_maps_unique
40268,foody_category,Quán ăn,foody_hust_places
72445,foody_category,Quán ăn,foody_hust_places
126679,popular_for,Bữa trưa,google_maps_unique
126679,popular_for,Bữa tối,google_maps_unique
126679,popular_for,Ăn tối một mình,google_maps_unique
126679,atmosphere,Ấm cúng,google_maps_unique
126679,atmosphere,Thông thường,google_maps_unique
126679,crowd,Nhóm,google_maps_unique
126679,crowd,Sinh viên,google_maps_unique
126679,dining_option,Bữa trưa,google_maps_unique
126679,dining_option,Bữa tối,google_maps_unique
126679,dining_option,Dịch vụ ăn uống,google_maps_unique
126679,dining_option,Phục vụ tại bàn,google_maps_unique
126679,offering,Nhà hàng thức ăn nhanh,google_maps_unique
80180,atmosphere,Thông thường,google_maps_unique
80180,crowd,Nhóm,google_maps_unique
80180,dining_option,Dịch vụ ăn uống,google_maps_unique
80180,dining_option,Phục vụ tại bàn,google_maps_unique
80180,foody_category,Quán ăn,foody_hust_places
47053,atmosphere,Thông thường,google_maps_unique
47053,dining_option,Bữa tối,google_maps_unique
47053,dining_option,Dịch vụ ăn uống,google_maps_unique
47053,dining_option,Phục vụ tại bàn,google_maps_unique
47053,foody_category,QuÃ¡n Äƒn,foody_hust_places
130783,atmosphere,Thông thường,google_maps_unique
130783,crowd,Nhóm,google_maps_unique
130783,dining_option,Bữa sáng,google_maps_unique
130783,dining_option,Bữa trưa,google_maps_unique
130783,dining_option,Bữa tối,google_maps_unique
130783,dining_option,Dịch vụ ăn uống,google_maps_unique
130783,dining_option,Phục vụ tại bàn,google_maps_unique
130783,foody_category,Ăn vặt/vỉa hè,foody_hust_places
86930,atmosphere,Thông thường,google_maps_unique
86930,dining_option,Dịch vụ ăn uống,google_maps_unique
86930,offering,Nhà hàng thức ăn nhanh,google_maps_unique
86930,foody_category,Quán ăn,foody_hust_places
86930,foody_cuisine,Món Bắc,foody_hust_places
86930,foody_cuisine,Món Miền Trung,foody_hust_places
86930,foody_cuisine,Món Miền Nam,foody_hust_places
86930,foody_cuisine,Tây Nguyên,foody_hust_places
86930,foody_audience,Sinh viên,foody_hust_places
86930,foody_audience,Cặp đôi,foody_hust_places
