store_id,source_name,source_store_key,source_url,source_name_raw,address_raw,match_confidence,note
5117,befood,5117,,Phúc Long - Tạ Quang Bửu,"69 Phố Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng, Hà Nội, Việt Nam",high,id gốc từ beFood
5117,foody,https://www.foody.vn/ha-noi/phuc-long-tran-dai-nghia,https://www.foody.vn/ha-noi/phuc-long-tran-dai-nghia,Phúc Long - Tạ Quang Bửu,"69 Phố Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng, Hà Nội, Việt Nam",high,match_method=manual_map; crawl_status=ok
5117,google,ChIJG4MNTRKtNTERMdX9_nZCRnY,,Phuc Long Coffee & Tea,"69 Trần Đại Nghĩa, Bách Khoa, Bạch Mai, Hà Nội, Việt Nam",high,method=direct_id; place_id=ChIJG4MNTRKtNTERMdX9_nZCRnY; score=None
24209,befood,24209,,Nước Dừa Trân Châu Phú Yên - Trần Đại Nghĩa,"63 Phố Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng, Hà Nội, Việt Nam",high,id gốc từ beFood
24209,google,ChIJNan-FHasNTERqQITN2_jD-c,,63 Trần Đại Nghĩa,"63 Trần Đại Nghĩa, Bách Khoa, Bạch Mai, Hà Nội 100000, Việt Nam",high,method=direct_id; place_id=ChIJNan-FHasNTERqQITN2_jD-c; score=None
27878,befood,27878,,Bánh Tráng Nướng Thảo Tồ - Tạ Quang Bửu,"10 Phố Tạ Quang Bửu, Bách Khoa, Hai Bà Trưng, Hà Nội, Việt Nam",high,id gốc từ beFood
27878,google,ChIJeS1ro2etNTERbI5vCHcUsdE,,Quán bánh tráng nướng,"3a P. Tạ Quang Bửu, Bách Khoa, Bạch Mai, Hà Nội, Việt Nam",high,method=direct_id; place_id=ChIJeS1ro2etNTERbI5vCHcUsdE; score=None
28819,befood,28819,,Highlands Coffee -  Trần Đại Nghĩa,"91 Phố Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng, Hà Nội, Việt Nam",high,id gốc từ beFood
28819,foody,https://www.foody.vn/ha-noi/highlands-coffee-tra-ca-phe-banh-dh-bach-khoa,https://www.foody.vn/ha-noi/highlands-coffee-tra-ca-phe-banh-dh-bach-khoa,Highlands Coffee - Trần Đại Nghĩa,"91 Phố Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng, Hà Nội, Việt Nam",high,match_method=manual_map; crawl_status=ok
28819,google,ChIJ2eOmu8utNTERJF2ptkp1M1U,https://www.highlandscoffee.com.vn/,Highlands Coffee,"91 Trần Đại Nghĩa, Bách Khoa, Bạch Mai, Hà Nội, Việt Nam",high,method=direct_id; place_id=ChIJ2eOmu8utNTERJF2ptkp1M1U; score=None
32441,befood,32441,,Mì Cay Seoul - Trần Đại Nghĩa,"91 Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng, Hà Nội",high,id gốc từ beFood
32441,foody,https://www.foody.vn/ha-noi/mi-cay-seoul-tran-dai-nghia,https://www.foody.vn/ha-noi/mi-cay-seoul-tran-dai-nghia,Mì Cay Seoul - Trần Đại Nghĩa,"91 Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng, Hà Nội",high,match_method=manual_map; crawl_status=ok
32441,google,ChIJQx4DbPStNTERHGh4b_1WM0s,https://micayseoul.com/,Mì Cay SEOUL Trần Đại Nghĩa,"223 Trần Đại Nghĩa, Đồng Tâm, Bạch Mai, Hà Nội 10000, Việt Nam",high,method=direct_id; place_id=ChIJQx4DbPStNTERHGh4b_1WM0s; score=None
37364,befood,37364,,Quán Ngon - Gà Tần & Bánh Cuốn Nóng - Tạ Quang Bửu,"Số 3A1 Tạ Quang Bửu, Bách Khoa, Hai Bà Trưng, Hà Nội, Hai Bà Trưng, Hà Nội",high,id gốc từ beFood
