id,node_type,name,normalized_name,graph_version,data_version
restaurant:25639,Restaurant,Quán Mùa - Cơm Gà & Bún Miến Trộn - Tây Sơn,quán mùa - cơm gà & bún miến trộn - tây sơn,kg_20260602_172448,offline
cuisine:COMBO,Cuisine,COMBO,combo,kg_20260602_172448,offline
restaurant:97742,Restaurant,"NaBi Bún Chả Quạt, Cơm Tấm & Cơm Văn Phòng - Tây Sơn","nabi bún chả quạt, cơm tấm & cơm văn phòng - tây sơn",kg_20260602_172448,offline
cuisine:cơm vị nhà nấu - thay đổi theo ngày,Cuisine,cơm vị nhà nấu - thay đổi theo ngày,cơm vị nhà nấu - thay đổi theo ngày,kg_20260602_172448,offline
restaurant:130307,Restaurant,"Phở Bò Nội - Bún Chả, Cháo & Cơm - Trần Hưng Đạo","phở bò nội - bún chả, cháo & cơm - trần hưng đạo",kg_20260602_172448,offline
cuisine:Phở,Cuisine,Phở,phở,kg_20260602_172448,offline
restaurant:22758,Restaurant,PhuongKitchen - Cơm & Đồ Ăn Vặt - Ngõ Chùa Liên Phái Bạch Mai,phuongkitchen - cơm & đồ ăn vặt - ngõ chùa liên phái bạch mai,kg_20260602_172448,offline
cuisine:XÔI CHIÊN,Cuisine,XÔI CHIÊN,xôi chiên,kg_20260602_172448,offline
restaurant:11471,Restaurant,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,thiên trường - phở cồ & cơm gà xối mắm - giải phóng,kg_20260602_172448,offline
cuisine:Deal 1K,Cuisine,Deal 1K,deal 1k,kg_20260602_172448,offline
restaurant:11326,Restaurant,Huỳnh Duyên - Cơm Văn Phòng & Nước Ép - Giải Phóng,huỳnh duyên - cơm văn phòng & nước ép - giải phóng,kg_20260602_172448,offline
cuisine:Combo Đồng Giá,Cuisine,Combo Đồng Giá,combo đồng giá,kg_20260602_172448,offline
restaurant:8314,Restaurant,Phở Bò Cơm Rang Duy Nhất - Giải Phóng,phở bò cơm rang duy nhất - giải phóng,kg_20260602_172448,offline
cuisine:Deal 1K,Cuisine,Deal 1K,deal 1k,kg_20260602_172448,offline
restaurant:126147,Restaurant,"Nhà Hàng Bin Bo - Bún Riêu Cua, Cơm Rang & Phở Xào - Phương Mai","nhà hàng bin bo - bún riêu cua, cơm rang & phở xào - phương mai",kg_20260602_172448,offline
cuisine:MENU,Cuisine,MENU,menu,kg_20260602_172448,offline
restaurant:127398,Restaurant,"Vũ Gia - Phở Gà, Bún Thang & Cơm Gà Xối Mỡ - Phố Huế","vũ gia - phở gà, bún thang & cơm gà xối mỡ - phố huế",kg_20260602_172448,offline
cuisine:Phở Nước - Phở Trộn,Cuisine,Phở Nước - Phở Trộn,phở nước - phở trộn,kg_20260602_172448,offline
restaurant:124125,Restaurant,Gà Rán BigBites - Cơm Gà & Bánh Gà - Đại La,gà rán bigbites - cơm gà & bánh gà - đại la,kg_20260602_172448,offline
cuisine:Cơm,Cuisine,Cơm,cơm,kg_20260602_172448,offline
restaurant:59967,Restaurant,Quán Hà Nội Xưa - Bún Chả - Trường Chinh,quán hà nội xưa - bún chả - trường chinh,kg_20260602_172448,offline
cuisine:Món Bún,Cuisine,Món Bún,món bún,kg_20260602_172448,offline
restaurant:135569,Restaurant,Cơm Bò Ngon - Trường Chinh,cơm bò ngon - trường chinh,kg_20260602_172448,offline
cuisine:NHÓM CƠM NHẬT & CƠM CHIÊN XÙ (MÓN CHÍNH),Cuisine,NHÓM CƠM NHẬT & CƠM CHIÊN XÙ (MÓN CHÍNH),nhóm cơm nhật & cơm chiên xù (món chính),kg_20260602_172448,offline
restaurant:128724,Restaurant,Phở - Cơm Hằng - Nguyễn Đình Chiểu,phở - cơm hằng - nguyễn đình chiểu,kg_20260602_172448,offline
cuisine:món phở,Cuisine,món phở,món phở,kg_20260602_172448,offline
restaurant:94161,Restaurant,Bánh Cuốn Nóng & Gà Ác Tần - Minh Khai,bánh cuốn nóng & gà ác tần - minh khai,kg_20260602_172448,offline
cuisine:Menu,Cuisine,Menu,menu,kg_20260602_172448,offline
restaurant:28837,Restaurant,Gà Tần Huyền Anh - Phở Xào & Cơm Rang - Quỳnh Mai,gà tần huyền anh - phở xào & cơm rang - quỳnh mai,kg_20260602_172448,offline
cuisine:các món xào,Cuisine,các món xào,các món xào,kg_20260602_172448,offline
restaurant:117760,Restaurant,OK Cơm Gà - Trương Định,ok cơm gà - trương định,kg_20260602_172448,offline
cuisine:Cơm Gà,Cuisine,Cơm Gà,cơm gà,kg_20260602_172448,offline
