item_id,restaurant_id,name,normalized_name,description,price,category,availability,source_names,source_record_ids,created_at,updated_at,data_version
867932,25639,Phở trộn bò và gà - 1 Coca cola,phở trộn bò và gà - 1 coca cola,,49000,,True,befood_menu,867932,,,offline
867933,25639,Miến trộn bò và gà - 1 coca cola,miến trộn bò và gà - 1 coca cola,,49000,,True,befood_menu,867933,,,offline
867935,25639,Bún trộn bò và gà - 1 Sprite,bún trộn bò và gà - 1 sprite,,49000,,True,befood_menu,867935,,,offline
867936,25639,Miến Trộn Bò Gà,miến trộn bò gà,,45000,,True,befood_menu,867936,,,offline
867937,25639,Phở Trộn Bò Gà,phở trộn bò gà,,45000,,True,befood_menu,867937,,,offline
867938,25639,Bún Trộn Bò Gà,bún trộn bò gà,,45000,,True,befood_menu,867938,,,offline
867939,25639,Bún Ngan Trộn,bún ngan trộn,,45000,,True,befood_menu,867939,,,offline
867940,25639,Bún Trộn Bò,bún trộn bò,,45000,,True,befood_menu,867940,,,offline
867941,25639,Miến Trộn Gà,miến trộn gà,,45000,,True,befood_menu,867941,,,offline
867942,25639,Bún Chả,bún chả,,45000,,True,befood_menu,867942,,,offline
867943,25639,Miến Trộn Bò,miến trộn bò,,45000,,True,befood_menu,867943,,,offline
867944,25639,Bún Thập Cẩm,bún thập cẩm,,45000,,True,befood_menu,867944,,,offline
867945,25639,Bún Ngan Nước,bún ngan nước,,45000,,True,befood_menu,867945,,,offline
867946,25639,Bún Trộn Gà,bún trộn gà,,45000,,True,befood_menu,867946,,,offline
867947,25639,Phở Trộn Gà,phở trộn gà,,45000,,True,befood_menu,867947,,,offline
867948,25639,Phở Trộn Bò,phở trộn bò,,45000,,True,befood_menu,867948,,,offline
867949,25639,Bún Cá,bún cá,,45000,,True,befood_menu,867949,,,offline
867950,25639,Bún Bò Nam Bộ (nước),bún bò nam bộ (nước),,45000,,True,befood_menu,867950,,,offline
867951,25639,Bánh Đa Trộn Bò Gà,bánh đa trộn bò gà,,45000,,True,befood_menu,867951,,,offline
867952,25639,Bún Gà Chan Nước,bún gà chan nước,,45000,,True,befood_menu,867952,,,offline
867953,25639,Bún Bò Giò Tai,bún bò giò tai,,45000,,True,befood_menu,867953,,,offline
867954,25639,Phở Bò Nước,phở bò nước,,45000,,True,befood_menu,867954,,,offline
867955,25639,Bún Bò Nam Bộ (Trộn),bún bò nam bộ (trộn),,45000,,True,befood_menu,867955,,,offline
867956,25639,Bún Mọc,bún mọc,,45000,,True,befood_menu,867956,,,offline
867957,25639,Phở Gà Nước,phở gà nước,,45000,,True,befood_menu,867957,,,offline
867958,25639,Mỳ Trộn Thập Cẩm,mỳ trộn thập cẩm,,45000,,True,befood_menu,867958,,,offline
867959,25639,Bánh Đa Cá (Nước),bánh đa cá (nước),,45000,,True,befood_menu,867959,,,offline
867960,25639,Mỳ Trộn Bò Gà Cay,mỳ trộn bò gà cay,,45000,,True,befood_menu,867960,,,offline
867961,25639,Há Cảo Thập Cẩm,há cảo thập cẩm,,45000,,True,befood_menu,867961,,,offline
867962,25639,Há Cảo Tôm,há cảo tôm,,45000,,True,befood_menu,867962,,,offline
867963,25639,Há Cảo Thịt Rau,há cảo thịt rau,,45000,,True,befood_menu,867963,,,offline
867964,25639,Há Cảo Thịt Nấm,há cảo thịt nấm,,45000,,True,befood_menu,867964,,,offline
867965,25639,Bún Cá Mọc,bún cá mọc,,45000,,True,befood_menu,867965,,,offline
867966,25639,Bánh Đa Cá Mọc Đậu,bánh đa cá mọc đậu,,45000,,True,befood_menu,867966,,,offline
867967,25639,Cơm Gà Sốt Chua Ngọt,cơm gà sốt chua ngọt,,49000,,True,befood_menu,867967,,,offline
867968,25639,Cơm Gà Luộc,cơm gà luộc,,50000,,True,befood_menu,867968,,,offline
867969,25639,Cơm Thịt Rang Trứng Rán Đậu Nhồi,cơm thịt rang trứng rán đậu nhồi,,48000,,True,befood_menu,867969,,,offline
867970,25639,Cơm Gà Rang Gừng,cơm gà rang gừng,,48000,,True,befood_menu,867970,,,offline
867971,25639,Cơm Gà Rán,cơm gà rán,,48000,,True,befood_menu,867971,,,offline
867972,25639,Cơm Thịt Xào Trứng Rán Lá Lốt,cơm thịt xào trứng rán lá lốt,,48000,,True,befood_menu,867972,,,offline
867973,25639,Cơm Cá Kho Trứng Rán Đậu Sốt,cơm cá kho trứng rán đậu sốt,,48000,,True,befood_menu,867973,,,offline
867974,25639,Cơm Gà Xào Xả Ớt,cơm gà xào xả ớt,,48000,,True,befood_menu,867974,,,offline
867981,25639,Cơm Thịt Xào Nấm,cơm thịt xào nấm,,48000,,True,befood_menu,867981,,,offline
7670605,97742,Cơm thịt lợn mường xào xả ớt,cơm thịt lợn mường xào xả ớt,,66000,,True,befood_menu,7670605,,,offline
9050411,97742,Cơm thịt kho tàu - trứng cút,cơm thịt kho tàu - trứng cút,,58000,,True,befood_menu,9050411,,,offline
9050419,97742,Cơm chả lá lốt vị nhà làm,cơm chả lá lốt vị nhà làm,,58000,,True,befood_menu,9050419,,,offline
9050433,97742,Cơm thịt nướng giềng mẻ,cơm thịt nướng giềng mẻ,,66000,,True,befood_menu,9050433,,,offline
9050435,97742,Cơm thịt quay giòn bì,cơm thịt quay giòn bì,,66000,,True,befood_menu,9050435,,,offline
9050436,97742,Cơm thịt ba chỉ rang cháy cạnh,cơm thịt ba chỉ rang cháy cạnh,,66000,,True,befood_menu,9050436,,,offline
7670606,97742,Bún chả truyền thống,bún chả truyền thống,,58000,,True,befood_menu,7670606,,,offline
7670608,97742,Bún chả viên,bún chả viên,,58000,,True,befood_menu,7670608,,,offline
9050428,97742,Bún chả đặc biệt,bún chả đặc biệt,,69000,,True,befood_menu,9050428,,,offline
9050430,97742,Bún chả miếng,bún chả miếng,,58000,,True,befood_menu,9050430,,,offline
7670603,97742,Cơm tấm - sườn cốt lết,cơm tấm - sườn cốt lết,,69000,,True,befood_menu,7670603,,,offline
7670604,97742,Cơm tấm đặc biệt ( Sườn - Bì - Chả Trứng - Ốp la ),cơm tấm đặc biệt ( sườn - bì - chả trứng - ốp la ),,95000,,True,befood_menu,7670604,,,offline
7670609,97742,Cơm tấm - sườn cốt lết - chả trứng,cơm tấm - sườn cốt lết - chả trứng,,78000,,True,befood_menu,7670609,,,offline
7670607,97742,Bánh cuốn chả lẫn,bánh cuốn chả lẫn,,59000,,True,befood_menu,7670607,,,offline
11563785,130307,Phở bò tái chín nạm,phở bò tái chín nạm,,50000,,True,befood_menu,11563785,,,offline
11563786,130307,Phở bò gầu,phở bò gầu,,60000,,True,befood_menu,11563786,,,offline
11563787,130307,Phở gà,phở gà,,50000,,True,befood_menu,11563787,,,offline
2513690,22758,Xôi Chiên Bọc Nguyên Đùi Gà,xôi chiên bọc nguyên đùi gà,,55000,,True,befood_menu,2513690,,,offline
2513691,22758,Xôi Chiên Nhân Đùi Gà Xé,xôi chiên nhân đùi gà xé,,55000,,True,befood_menu,2513691,,,offline
2513692,22758,Cơm Rang Kim Chi Bò,cơm rang kim chi bò,,52500,,True,befood_menu,2513692,,,offline
2513693,22758,Cơm Rang Kim Chi Xá Xíu,cơm rang kim chi xá xíu,,52500,,True,befood_menu,2513693,,,offline
