entity_key,name,entity_type,store_key,review_id,text_unit_id,sentiment,confidence,evidence
dish:com-ga,cơm gà,dish,25639,15034de1df0b4e9a,tu_15034de1df0b4e9a,positive,0.82,quán mùa - cơm gà
dish:bun-mien-tron,bún miến trộn,dish,25639,15034de1df0b4e9a,tu_15034de1df0b4e9a,positive,0.82,& bún miến trộn
food_descriptor:ngon,ngon,food_descriptor,25639,15034de1df0b4e9a,tu_15034de1df0b4e9a,positive,0.96,"ngon đấy, ngon xỉu"
dish:pho,phở,dish,25639,8ea2b2b2c0447f44,tu_8ea2b2b2c0447f44,neutral,0.95,đặt phở
dish:bun,bún,dish,25639,8ea2b2b2c0447f44,tu_8ea2b2b2c0447f44,neutral,0.95,cho bún
problem:giao-nham-mon,giao nhầm món,problem,25639,8ea2b2b2c0447f44,tu_8ea2b2b2c0447f44,negative,0.78,đặt phở cho bún?
dish:bun-ngan-tron,bún ngan trộn,dish,25639,d2292fdad09da78a,tu_d2292fdad09da78a,negative,0.96,bún ngan trộn của mình
problem:gian,gián,problem,25639,d2292fdad09da78a,tu_d2292fdad09da78a,negative,0.99,có cả gián
dish:bun-ga,bún gà,dish,25639,d7985d984f2378be,tu_d7985d984f2378be,negative,0.94,bán bún gà
dish:tuong-ot-chanh,tương ớt chanh,dish,25639,d7985d984f2378be,tu_d7985d984f2378be,neutral,0.82,tương ớt chanh
dish:rau-song,rau sống,dish,25639,d7985d984f2378be,tu_d7985d984f2378be,neutral,0.71,rau sống
service_quality:service-thieu-tam,service thiếu tâm,service_quality,25639,d7985d984f2378be,tu_d7985d984f2378be,negative,0.9,bán đồ ăn ko có tâm
problem:khong-cho-tuong-ot-chanh,không cho tương ớt chanh,problem,25639,d7985d984f2378be,tu_d7985d984f2378be,negative,0.95,ko cho tương ớt chanh
problem:trai-nghiem-so,trải nghiệm sợ,problem,25639,d7985d984f2378be,tu_d7985d984f2378be,negative,0.84,ăn 1 lần sợ vl
