relation_key,source_entity_key,target_entity_key,relation_type,store_key,review_id,text_unit_id,sentiment,confidence,evidence
c3773488e3a37c1114c5a2accdf53cecc6632e45132d27faa0b8422e6d71cf74,dish:com-ga,food_descriptor:ngon,DESCRIBES_FOOD,25639,15034de1df0b4e9a,tu_15034de1df0b4e9a,positive,0.72,ngon đấy
65a3177ef11269c825463fe648d7dcc9fdf1ab00b8693129afd5c06694eb4864,dish:bun-mien-tron,food_descriptor:ngon,DESCRIBES_FOOD,25639,15034de1df0b4e9a,tu_15034de1df0b4e9a,positive,0.72,ngon xỉu
ab37c30c5969440c52e73c7a4b8a41c478ab174b4c1bbbca48be56533ae1072b,problem:giao-nham-mon,dish:pho,MENTIONS,25639,8ea2b2b2c0447f44,tu_8ea2b2b2c0447f44,negative,0.72,đặt phở cho bún?
a99104c3774ed3a09e8c6fbf2bf5531151728fa09875fefd5167f5e0c4593d97,problem:giao-nham-mon,dish:bun,MENTIONS,25639,8ea2b2b2c0447f44,tu_8ea2b2b2c0447f44,negative,0.72,đặt phở cho bún?
a244d0a12b3355b0b807c9108e54a2355a1462b144bc0c50659cdedea783900f,dish:bun-ngan-tron,problem:gian,HAS_PROBLEM,25639,d2292fdad09da78a,tu_d2292fdad09da78a,negative,0.98,bún ngan trộn ... có cả gián
738ebf935623922665f6b21c49e847013d44d879015f6106ab77a7c5705783d5,service_quality:service-thieu-tam,problem:khong-cho-tuong-ot-chanh,HAS_PROBLEM,25639,d7985d984f2378be,tu_d7985d984f2378be,negative,0.86,ko cho tương ớt chanh
675204d30438bedd5c4f0fed9155a69ee6d418a646e1e5d3336252ffd6fc60a6,service_quality:service-thieu-tam,problem:trai-nghiem-so,HAS_NEGATIVE_SIGNAL,25639,d7985d984f2378be,tu_d7985d984f2378be,negative,0.8,ăn 1 lần sợ vl
9a0139ba17cf03d950b17472c2ec136bc99c3786dac37ba30534163c3da1b44e,dish:bun-ga,problem:khong-cho-tuong-ot-chanh,HAS_PROBLEM,25639,d7985d984f2378be,tu_d7985d984f2378be,negative,0.93,bún gà mà ko cho tương ớt chanh
68d123f0a7b34d470b140bb8f8f17736b5184ac63b05246b2308fa987576baea,dish:com,food_descriptor:qua-te,DESCRIBES_FOOD,97742,037157be32ed104c,tu_037157be32ed104c,negative,0.95,cơm quá tệ
3f42b21ef056d656a91df0cfc4a476b57b52f82114d4e590aa80b4cd3ffa4f46,dish:com,food_descriptor:khong-hop-khau-vi,DESCRIBES_FOOD,97742,037157be32ed104c,tu_037157be32ed104c,negative,0.95,không hợp khẩu vị
2a32bc1d041805a21df41570549f19b5f52f431aca58f8100ed194248dd80eba,delivery_packaging:dong-goi,problem:chua-tot,HAS_PROBLEM,97742,037157be32ed104c,tu_037157be32ed104c,negative,0.9,đóng gói chưa tốt
