store_node_id,store_id,store_name,latitude,longitude,median_price,price_min,price_max,rating,review_count,district,city,area_id
store:25639,25639,Quán Mùa - Cơm Gà & Bún Miến Trộn - Tây Sơn,21.00948906,105.8276825,45000.0,15000.0,490009.0,4.6,562,Quan Dong Da,Ha Noi,Ha Noi:Quan Dong Da
store:97742,97742,"NaBi Bún Chả Quạt, Cơm Tấm & Cơm Văn Phòng - Tây Sơn",21.01016045,105.8263779,66000.0,58000.0,95000.0,4.3,11,Quan Dong Da,Ha Noi,Ha Noi:Quan Dong Da
store:130307,130307,"Phở Bò Nội - Bún Chả, Cháo & Cơm - Trần Hưng Đạo",21.02345085,105.8435669,50000.0,50000.0,60000.0,4.8,10,,Ha Noi,
store:22758,22758,PhuongKitchen - Cơm & Đồ Ăn Vặt - Ngõ Chùa Liên Phái Bạch Mai,21.00464058,105.8488998,52000.0,11000.0,65000.0,4.7,7,Quan Hai Ba Trung,Hà Nội,Hà Nội:Quan Hai Ba Trung
store:11471,11471,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,21.00283051,105.8419876,59000.0,10000.0,80000.0,4.5,39,Quan Hai Ba Trung,Hà Nội,Hà Nội:Quan Hai Ba Trung
store:11326,11326,Huỳnh Duyên - Cơm Văn Phòng & Nước Ép - Giải Phóng,21.00079918,105.8419266,40000.0,15000.0,55000.0,4.8,88,Quan Hai Ba Trung,Ha Noi,Ha Noi:Quan Hai Ba Trung
store:8314,8314,Phở Bò Cơm Rang Duy Nhất - Giải Phóng,21.00073051,105.8418808,60000.0,35000.0,70000.0,4.6,1787,,Ha Noi,
store:126147,126147,"Nhà Hàng Bin Bo - Bún Riêu Cua, Cơm Rang & Phở Xào - Phương Mai",21.00564957,105.8391571,70000.0,1000.0,180000.0,4.3,4,,Ha Noi,
store:127398,127398,"Vũ Gia - Phở Gà, Bún Thang & Cơm Gà Xối Mỡ - Phố Huế",21.00971985,105.8514175,71500.0,6500.0,910000.0,0.0,0,Quan Hai Ba Trung,Ha Noi,Ha Noi:Quan Hai Ba Trung
store:124125,124125,Gà Rán BigBites - Cơm Gà & Bánh Gà - Đại La,20.9979496,105.8443298,55000.0,9000.0,160000.0,5.0,1,,Ha Noi,
store:59967,59967,Quán Hà Nội Xưa - Bún Chả - Trường Chinh,21.00046921,105.8375168,45000.0,45000.0,60000.0,3.9,18,Quan Dong Da,Ha Noi,Ha Noi:Quan Dong Da
store:135569,135569,Cơm Bò Ngon - Trường Chinh,20.9967308,105.8421097,78500.0,13000.0,150000.0,0.0,0,,Ha Noi,
store:128724,128724,Phở - Cơm Hằng - Nguyễn Đình Chiểu,21.01683044,105.8477783,60000.0,10000.0,70000.0,4.9,10,Quan Hai Ba Trung,Ha Noi,Ha Noi:Quan Hai Ba Trung
store:94161,94161,Bánh Cuốn Nóng & Gà Ác Tần - Minh Khai,20.99523926,105.8544998,47500.0,10000.0,100000.0,4.7,31,,Ha Noi,
store:28837,28837,Gà Tần Huyền Anh - Phở Xào & Cơm Rang - Quỳnh Mai,21.00131989,105.8601379,62000.0,20000.0,185000.0,4.7,173,Quan Hai Ba Trung,Ha Noi,Ha Noi:Quan Hai Ba Trung
store:117760,117760,OK Cơm Gà - Trương Định,20.99132919,105.8506393,40000.0,10000.0,340000.0,4.7,7,,Ha Noi,
store:33188,33188,Hải Dung - Cơm Rang & Phở Xào - Quỳnh Mai,21.00110054,105.8611984,55000.0,17000.0,220000.0,4.5,61,,Ha Noi,
store:33749,33749,Phở Bò 288 - Phở Bò & Cơm Rang - Minh Khai,20.99505997,105.8600922,50000.0,6000.0,350000.0,4.6,27,Quan Hoang Mai,Ha Noi,Ha Noi:Quan Hoang Mai
store:22455,22455,Phở Cuốn Hoa Lan - Trần Hưng Đạo,21.01988983,105.8566208,80000.0,35000.0,140000.0,4.8,272,Quan Hoan Kiem,Ha Noi,Ha Noi:Quan Hoan Kiem
