src_id,relation,dst_id
community:0,HAS_REPORT,community_report:community_report_0
community:1,HAS_REPORT,community_report:community_report_1
community:2,HAS_REPORT,community_report:community_report_2
community:3,HAS_REPORT,community_report:community_report_3
community:4,HAS_REPORT,community_report:community_report_4
community:5,HAS_REPORT,community_report:community_report_5
community:6,HAS_REPORT,community_report:community_report_6
community:7,HAS_REPORT,community_report:community_report_7
menu_item:10048718,IN_MENU_CATEGORY,menu_category:bun
menu_item:10048719,IN_MENU_CATEGORY,menu_category:bun
menu_item:10048720,IN_MENU_CATEGORY,menu_category:banh_cuon
menu_item:10048721,IN_MENU_CATEGORY,menu_category:banh_cuon
menu_item:1005079,IN_MENU_CATEGORY,menu_category:cac_mon_xao
menu_item:1005080,IN_MENU_CATEGORY,menu_category:cac_mon_xao
menu_item:1005081,IN_MENU_CATEGORY,menu_category:cac_mon_xao
menu_item:1005082,IN_MENU_CATEGORY,menu_category:cac_mon_xao
menu_item:1005084,IN_MENU_CATEGORY,menu_category:cac_mon_xao
menu_item:1005085,IN_MENU_CATEGORY,menu_category:cac_mon_xao
menu_item:1005086,IN_MENU_CATEGORY,menu_category:cac_mon_xao
menu_item:1005087,IN_MENU_CATEGORY,menu_category:cac_mon_xao
menu_item:1005089,IN_MENU_CATEGORY,menu_category:cac_mon_xao
menu_item:1005090,IN_MENU_CATEGORY,menu_category:com_rang
menu_item:1005091,IN_MENU_CATEGORY,menu_category:com_rang
menu_item:1005092,IN_MENU_CATEGORY,menu_category:com_rang
menu_item:1005093,IN_MENU_CATEGORY,menu_category:com_rang
menu_item:1005094,IN_MENU_CATEGORY,menu_category:com_rang
menu_item:1005095,IN_MENU_CATEGORY,menu_category:com_rang
menu_item:1005097,IN_MENU_CATEGORY,menu_category:cac_mon_tan_ngai_cuu
menu_item:1005099,IN_MENU_CATEGORY,menu_category:cac_mon_tan_ngai_cuu
menu_item:1005102,IN_MENU_CATEGORY,menu_category:cac_mon_tan_ngai_cuu
menu_item:1005103,IN_MENU_CATEGORY,menu_category:cac_mon_tan_ngai_cuu
menu_item:1005104,IN_MENU_CATEGORY,menu_category:cac_mon_chan
menu_item:1005105,IN_MENU_CATEGORY,menu_category:cac_mon_chan
menu_item:1005106,IN_MENU_CATEGORY,menu_category:cac_mon_chan
menu_item:1005107,IN_MENU_CATEGORY,menu_category:cac_mon_chan
menu_item:1005110,IN_MENU_CATEGORY,menu_category:cac_mon_chan
menu_item:1005111,IN_MENU_CATEGORY,menu_category:cac_mon_chan
menu_item:1005113,IN_MENU_CATEGORY,menu_category:cac_mon_chan
menu_item:1005114,IN_MENU_CATEGORY,menu_category:chao
menu_item:1005115,IN_MENU_CATEGORY,menu_category:chao
menu_item:1005116,IN_MENU_CATEGORY,menu_category:chao
menu_item:1005117,IN_MENU_CATEGORY,menu_category:chao
menu_item:1005118,IN_MENU_CATEGORY,menu_category:chao
menu_item:1005119,IN_MENU_CATEGORY,menu_category:chao
menu_item:1005120,IN_MENU_CATEGORY,menu_category:cac_mon_tron
menu_item:1005121,IN_MENU_CATEGORY,menu_category:cac_mon_tron
menu_item:1005123,IN_MENU_CATEGORY,menu_category:cac_mon_tron
menu_item:10067910,IN_MENU_CATEGORY,menu_category:banh_cuon
menu_item:10125345,IN_MENU_CATEGORY,menu_category:menu
menu_item:10125346,IN_MENU_CATEGORY,menu_category:menu
menu_item:10125347,IN_MENU_CATEGORY,menu_category:menu
menu_item:10125348,IN_MENU_CATEGORY,menu_category:menu
menu_item:10125602,IN_MENU_CATEGORY,menu_category:com_rang_theo_mua_seasonal_menu
menu_item:10125603,IN_MENU_CATEGORY,menu_category:com_rang_thap_cam_truyen_thong
menu_item:10125604,IN_MENU_CATEGORY,menu_category:com_rang_thap_cam_truyen_thong
menu_item:10125605,IN_MENU_CATEGORY,menu_category:com_rang_thap_cam_truyen_thong
menu_item:10125606,IN_MENU_CATEGORY,menu_category:com_rang_thap_cam_truyen_thong
