node_id,node_type
area:bach_khoa_hai_ba_trung,Area
area:bach_mai_hai_ba_trung,Area
area:bach_mai_phuong_bach_mai,Area
area:bao_ch_mai_hai_ba_trung,Area
area:cong_vien_thong_nhat_hai_ba_trung,Area
area:dai_hoc_bach_khoa_hai_ba_trung,Area
area:ha_bao_y_mao_u_hai_ba_trung,Area
area:ha_na_i_quan_hai_ba_trung,Area
area:ha_noi_quan_ba_dinh,Area
area:ha_noi_quan_cau_giay,Area
area:ha_noi_quan_dong_da,Area
area:ha_noi_quan_hai_ba_trung,Area
area:ha_noi_quan_hoan_kiem,Area
area:ha_noi_quan_hoang_mai,Area
area:ha_noi_quan_thanh_xuan,Area
attribute:10227:cleanliness,Attribute
attribute:10227:food_quality,Attribute
attribute:10227:packaging,Attribute
attribute:10227:price,Attribute
attribute:10227:service,Attribute
attribute:10227:space,Attribute
attribute:10227:speed,Attribute
attribute:102294:cleanliness,Attribute
attribute:102294:food_quality,Attribute
attribute:102294:packaging,Attribute
attribute:102294:price,Attribute
attribute:102294:service,Attribute
attribute:102294:space,Attribute
attribute:102294:speed,Attribute
attribute:102812:cleanliness,Attribute
attribute:102812:food_quality,Attribute
attribute:102812:packaging,Attribute
attribute:102812:price,Attribute
attribute:102812:service,Attribute
attribute:102812:space,Attribute
attribute:102812:speed,Attribute
attribute:10307:cleanliness,Attribute
attribute:10307:food_quality,Attribute
attribute:10307:packaging,Attribute
attribute:10307:price,Attribute
attribute:10307:service,Attribute
attribute:10307:space,Attribute
attribute:10307:speed,Attribute
attribute:103124:cleanliness,Attribute
attribute:103124:food_quality,Attribute
attribute:103124:packaging,Attribute
attribute:103124:price,Attribute
attribute:103124:service,Attribute
attribute:103124:space,Attribute
attribute:103124:speed,Attribute
attribute:105958:cleanliness,Attribute
attribute:105958:food_quality,Attribute
attribute:105958:packaging,Attribute
attribute:105958:price,Attribute
attribute:105958:service,Attribute
attribute:105958:space,Attribute
attribute:105958:speed,Attribute
attribute:106675:cleanliness,Attribute
attribute:106675:food_quality,Attribute
